ID,Name,Võro.South.Estonian,Source,Example,Comment
UT113,Are there different words for younger and older relatives for relations other than siblings?,0,Sulev Iva (p.c. 2020),,
UT114,Is there an animacy distinction for both concepts: 'new/young' and 'old'?,0,Sulev Iva (p.c. 2020),,"Only nuur 'young' and vahtsõnõ 'new' differ, not vana 'old'."
UT115,Is there a distinction for both 'warm' and 'cold' depending on whether reference is to weather or the temperature of objects?,0,Sulev Iva (p.c. 2020),,
UT116,Is there contrastive length for consonants?,1,Plado and Lindström and Iva 2023:390-392,"UT116-1, UT116-2",
UT117,Is there contrastive length for vowels?,1,Plado and Lindström and Iva 2023:390-392,"UT117-1, UT117-2",
UT118,Is there a contrast between short and long unstressed vowels?,0,Plado and Lindström and Iva 2023:390-392,,
UT119,Is there a contrast in the length of geminate consonants?,1,Plado and Lindström and Iva 2023:391-392,"UT119-1, UT119-2",
UT120,Are there more than two phonological quantities?,1,Plado and Lindström and Iva 2023:391-392,"UT120-1, UT120-2",
UT121,Are there extralong syllables?,1,Plado and Lindström and Iva 2023:391-392,UT121,
UT122,Is the main foot structure trochaic?,1,Eva Saar (p.c. 2020),UT122,
UT123,Is there lexically distinctive word stress?,0,Plado and Lindström and Iva 2023:391,,
UT124,Is there morphologically conditioned stress?,1,Eva Saar (p.c. 2020),UT124,
UT125,Is there fixed primary stress?,1,Plado and Lindström and Iva 2023:391,UT125,
UT126,Is there stress in heavy syllables?,0,Plado and Lindström and Iva 2023:388-392,,
UT127,Is there non-initial primary stress?,0,Plado and Lindström and Iva 2023:391,,
UT128,Is there palatal vowel harmony?,1,Plado and Lindström and Iva 2023:390,UT128,/ø/ is restricted to the first syllable only.
UT129,Is there velar vowel harmony?,1,Plado and Lindström and Iva 2023:389,UT129,
UT130,Is there labial vowel harmony?,0,Plado and Lindström and Iva 2023:389-390,,
UT131,Are there closing diphthongs?,1,Plado and Lindström and Iva 2023:389,UT131,
UT132,Are there opening diphthongs?,1,Plado and Lindström and Iva 2023:389,UT132,
UT133,Is there a qualitative contrast between subsets of short and long vowels?,0,Plado and Lindström and Iva 2023:in passim,,
UT134,Are there full vs. reduced vowels as contrastive subsets?,0,Plado and Lindström and Iva 2023:in passim,,
UT135,Is there a high front rounded vowel /y/?,1,Plado and Lindström and Iva 2023:389,UT135,
UT136,Is there a mid-high front rounded vowel /ø/?,1,Plado and Lindström and Iva 2023:389,UT136,
UT137,Is there a high back unrounded vowel /ɯ ɨ/?,1,Plado and Lindström and Iva 2023:389,UT137,
UT138,Is there a mid-high back unrounded vowel /ɤ ɘ/?,1,Plado and Lindström and Iva 2023:389,UT138,
UT139,Is there a low back rounded vowel /ɒ/?,0,Plado and Lindström and Iva 2023:389,,
UT140,Is there a contrast between mid front vowels (/e/ or /ɛ/) and low front vowels (/æ/ or /a/)?,1,Plado and Lindström and Iva 2023:389,"UT140-1, UT140-2",
UT141,Are there word-initial consonant clusters?,1,Plado and Lindström and Iva 2023:391,UT141,
UT142,Are there word-internal consonant clusters in the syllable onset?,0,Eva Saar (p.c. 2020),,
UT143,Are there consonant clusters in the syllable coda?,1,Eva Saar (p.c. 2020),UT143,
UT144,Are there word-internal intervocalic clusters of three or more consonants?,1,Eva Saar (p.c. 2020),UT144,
UT145,Are there word-final clusters of three or more consonants?,1,Eva Saar (p.c. 2020),UT145,
UT146,Are there palatalized alveolar consonants?,1,Plado and Lindström and Iva 2023:391,UT146,
UT147,Are there palatalized labial and velar consonants?,1,Plado and Lindström and Iva 2023:391,"UT147-1, UT147-2",
UT148,Is there a palatal stop?,0,Plado and Lindström and Iva 2023:390-391,,
UT149,Is there a palatal nasal /ɲ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT150,Is there a palatal lateral /ʎ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT151,Is there a velar nasal /ŋ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT152,Is there an alveolar affricate /t͡s/?,1,Plado and Lindström and Iva 2023:390-391,UT152,
UT153,"Is there a non-alveolar affricate (e.g., /t͡ʃ/, /t͡ɕ/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT154,Is there a phonological contrast between an unvoiced alveolar sibilant /s/ and an unvoiced postalveolar sibilant /ʃ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT155,"Are there voiced plosives (e.g., /b g d/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT156,Is there a glottal stop /ʔ/?,1,Plado and Lindström and Iva 2023:390-391,"UT156-1, UT156-2",
UT157,"Is there a phonological contrast between plain and labial velar consonants (e.g., /k/ vs. /kʷ/)?",0,Plado and Lindström and Iva 2023:390-391,,
UT158,Is there a constraint on the word-initial alveolar trill /r/?,0,Plado and Lindström and Iva 2023:391-392,,
UT159,Is there a laryngeal fricative /h/?,1,Plado and Lindström and Iva 2023:390-391,UT159,
UT160,Is there a voiced velar fricative /ɣ/?,0,Plado and Lindström and Iva 2023:390-391,,
UT161,Is there a voiceless velar fricative /x/?,0,Plado and Lindström and Iva 2023:390-391,,
UT162,Is there a voiced dental fricative /ð/?,0,Plado and Lindström and Iva 2023:390-391,,
UT163,Is there a labio-velar approximant /w/?,0,Plado and Lindström and Iva 2023:390-391,,
UT164,Is there a voiceless labiodental fricative /f/?,0,Plado and Lindström and Iva 2023:390-391,,
UT165,Is there radical qualitative consonant gradation?,1,Plado and Lindström and Iva 2023:392,"UT165-1, UT165-2",
UT166,Is there quantitative consonant gradation?,1,Plado and Lindström and Iva 2023:392,"UT166-1, UT166-2",
