ID,Primary_Text,IPA,Analyzed,Gloss,Translation,Example_Source
UT058,велöтчытöм морт,velɘtt͡ɕɨtɘm mort,velɘtt͡ɕɨ-tɘm mort,learn-PTCP.NEG person,uneducated person,Грамматика 1940: 176
UT063,"пöжалöм нянь
нянь пöжалöм","pɘʒɑlɘm ɲɑɲ
ɲɑɲ pɘʒɑlɘm","pɘʒɑl-ɘm ɲɑɲ
ɲɑɲ pɘʒɑl-ɘm","bake-PTCP bread
bread bake-NMLZ","baked bread
baking bread",
UT064,"уджалiсь морт
уджалiсь","ud͡ʒɑliɕ mort
ud͡ʒɑliɕ","ud͡ʒɑl-iɕ mort
ud͡ʒɑliɕ","work-PTCP person
work-NMLZ","working person
worker, employee",КПЯ 1962: 279; Майшев 1940: 72
UT066,"чай ю!
ю чай!","t͡ɕɑj ju!
ju t͡ɕɑj!","t͡ɕɑj ju!
ju t͡ɕɑj!","tea[ACC] drink[IMP]
drink[IPM] tea[ACC]",drink tea!,
UT067,эн менö велöт,en menɘ velɘt,en menɘ velɘt,NEG I[ACC] teach[IMP.2SG],Don't teach me!,
UT070,сетыштны,ɕetɨʃtnɨ,ɕet-ɨʃt-nɨ,add-DIM-INF,to add a little bit,КПЯ 1962: 260
UT072,кучик керöм,kut͡ɕik kerɘm,kut͡ɕik ker-ɘm,leather do-NMLZ,currying leather,КПРС 1985: 171
UT073,машинаэс вильöсь,mɑʃinɑes viʎɘɕ,mɑʃinɑ-es viʎ-ɘɕ,car-PL new-PL,The cars are new.,КПЯ 1962: 218
UT074,меддона,meddonɑ,med-dona,SPRL-expensive,the most expensive,КПЯ 1962: 216
UT075-1,вылам,vɨlɑm,vɨl-ɑm,surface-POSS.1SG,on me,КПЯ 1962: 307
UT075-2,вылат,vɨlɑt,vɨl-ɑt,surface-POSS.2SG,on you,
UT076-1,Би дынö пуксьыны.,bi dɨnɘ pukɕɨnɨ,bi dɨn-ɘ pukɕ-ɨnɨ,fire near-ILL sit-INF,to sit near the fire,КПРС 1985: 133-134
UT076-2,Нiя чöлiсö асланыс пызаннэз дынын.,nijɘ t͡ɕɘlisɘ ɑslɑnɨs pɨzɑnnez dɨnɨn,nijɘ t͡ɕɘl-isɘ ɑslɑnɨs pɨzɑnn-ez dɨn-ɨn,They be.silent-PST.3PL their.own table-PL near-INE,They sat silently at their tables.,
UT076-3,Пызан дынiсь мунны.,pɨzɑn dɨniɕ munnɨ,pɨzɑn dɨn-iɕ mun-nɨ,desk near-ELA go-INF,to go away from the table,
UT077,Керкуэсланьсянь локтö морт.,kerkueslɑɲɕɑɲ loktɘ mort,kerku-es-lɑɲ-ɕɑɲ lokt-ɘ mort,house-PL-APPR-EGR come-PRS.3SG person,A man comes from the side of houses.,
UT080,куим морт,kuim mort,kuim mort,three people,three people,КПЯ 1962: 227
UT081,Ванялöн айыс уджалö колхозын.,vɑɲɑlɘn ɑjɨs ud͡ʒɑlɘ kolhozɨn,vɑɲɑ-lɘn ɑj-ɨs ud͡ʒɑl-ɘ kolhoz-ɨn,Vanya-GEN father-3SG work-PRS.3SG kolkhoz-INE,Vanya's father works in a kolkhoz.,КПЯ 1962: 185
UT082,Ме гижа вонöлö письмо.,me giʒɑ vonɘlɘ piɕmo,me giʒ-ɑ von-ɘ-lɘ piɕmo,I write-PRS.1SG brother-POSS.1SG-DAT letter-ACC,I'm writing letter to my brother.,КПЯ 1962: 185
UT083-1,Ме ветлi Москваöдз.,me vetli moskvɑɘd͡ʑ,me vetl-i moskvɑ-ɘd͡ʑ,I go.and.com.back-PST.1SG Moscow-TERM,I went to Moscow and came back.,КПЯ 1962: 193
UT083-2,Таво шогдiыс быдмис моросви.,tɑvo ʃogdiɨs bɨdmis morosvi,tɑvo ʃogdi-ɨs bɨdm-is moros-vi,This.year wheat-POSS.3SG grow-PST.3SG breast-TERM(vertical),Wheat has grown to breast this year.,КПЯ 1962: 193
UT084,Нiя талун дыр пукалiсö битöг.,nijɑ tɑlun dɨr pukɑlisɘ bitɘg,nijɑ tɑlun dɨr pukɑl-isɘ bi-tɘg,They today for.a.long.time sit-PST.3PL light-ABE,Today they sat for a long time without light.,КПЯ 1962: 188
UT085,виль туйöт,viʎ tujɘt,viʎ tuj-ɘt,new way-PROL,on a new way,КПЯ 1962: 192
UT086,Челядь пырисö школаö.,t͡ɕeʎɑɟ pɨrisɘ ʃkolɑɘ,t͡ɕeʎɑɟ pɨr-isɘ ʃkolɑ-ɘ,children enter-PST.3PL school-ILL,Children went into the school.,КПЯ 1962: 191
UT087,Ошшес олöны вöрын.,oʃʃes olɘnɨ vɘrɨn,oʃʃ-es ol-ɘnɨ vɘr-ɨn,bear-PL live-PRS.3PL forest-INE,Bears live in a forest,КПЯ 1962: 189
UT088,Челядь локтöны школаись.,t͡ɕeʎɑɟ loktɘnɨ ʃkolɑiɕ,t͡ɕeʎɑɟ lokt-ɘnɨ ʃkolɑ-iɕ,children come-PRS.3PL school-ELA,Children come from the school.,КПЯ 1962: 193
UT089,книгаам,kɲigɑɑm,kɲigɑ-ɑm,book-INE/ILL.POSS.1SG,in my book/into my book,Цыпанов 1999: 51
UT091,"посадын, посадö, посадiсь
пызанвын, пызанвö, пызанвись","posɑdɨn, posɑdɘ, posɑdiɕ
pɨzɑnvɨn, pɨzɑnvɘ, pɨzɑnviɕ","posɑd-ɨn, posɑd-ɘ, posɑd-iɕ
pɨzɑn-vɨn, pɨzɑn-vɘ, pɨzɑn-viɕ","village-INE, village-ILL, village-ELA
table-ADE, table-ALL, table-ABL","in a village, into a village, from a village
on a table, onto a table, from a table",Цыпанов 1999: 41-42
UT092,"посадланьын, посадланьö, посадланись","posɑdlɑɲɨn, posɑdlɑɲɘ, posɑdlɑɲiɕ","posɑd-lɑɲɨn, posɑd-lɑɲɘ, posɑd-lɑɲiɕ","village-APPR.INE, village-APPR.ILL, village-APPR.ELA","on the area of the village, to the direction of the village, from the direction of the village",Цыпанов 1999: 42
UT093,Пессö поткöтöны черöн.,pessɘ potkɘtɘnɨ t͡ɕerɘn,pes-sɘ potkɘt-ɘnɨ t͡ɕer-ɘn,firewood-ACC.POSS.3SG chip-PRS.3PL axe-INS,Firewood is chipped with an axe,КПЯ 1962: 187
UT094,Петя Колякöт вуграсьöны.,pecɑ koʎɑkɘt vugrɑɕɘnɨ,pecɑ koʎɑ-kɘt vugrɑɕ-ɘnɨ,Petya.NOM Kolya-COM fish.with.a.fishing.rod-PRS.3PL,Petya and Kolya are fishing with a fishing rod.,КПЯ 1962: 188
UT100-1,киэзнас пешлiс,kieznɑs peʃlis,ki-ez-nɑs peʃl-is,hand-PL-INS.3SG touch-PST.3SG,(s)he touched with his/her hand,КПЯ 1962: 14
UT100-2,коккез веськöтыштны,kokkez veɕkɘtɨʃtnɨ,kok-kez veɕkɘt-ɨʃt-nɨ,leg-PL.ACC throw.out-DIM-INF,to stretch legs,КПРС 1985: 178
UT101-1,мöс сюр,mɘs ɕur,mɘs ɕur,cow.NOM horn,cow's horn,КПЯ 1962: 185
UT101-2,Ванялöн айыс,vɑɲɑlɘn ɑjɨs,vɑɲɑ-lɘn ɑj-ɨs,Vanya-GEN father-POSS.3SG,Vanya's father,КПЯ 1962: 185
UT101-3,Ванялiсь книгасö,vɑɲɑliɕ kɲigɑsɘ,vɑɲɑ-liɕ kɲigɑ-sɘ,Vanya-ABL book-ACC.POSS.3SG,Vanya's book (O),КПЯ 1962: 185
UT102,мöс сюр,mɘs ɕur,mɘs ɕur,cow.NOM horn,cow's horn,КПЯ 1962: 185
UT103,киэзын,kiezɨn,ki-ez-ɨn,hand-PL-INE,in the hands,Майшев 1940: 27
UT104,Вöрын олiс ош. Ошыт öддьöн ыджыт.,vɘrɨn olis oʃ. oʃɨt ɘɟɟɘn ɨd͡ʒɨt,vɘr-ɨn ol-is oʃ. oʃ-ɨt ɘɟɟɘn ɨd͡ʒɨt,forest-INE live-PST.3SG bear. bear-POSS.2SG very big,A bear lived in the forest. The bear is very big.,Майшев 1940: 26
UT105,Вöрöт мунö нывка. Нывкаыслöн киас куд.,vɘrɘt munɘ nɨvkɑ. nɨvkɑɨslɘn kiɑs kud,vɘr-ɘt mun-ɘ nɨv-kɑ. nɨv-kɑ-ɨs-lɘn ki-ɑs kud,forest-PROL go-PRS.3SG girl-DIM. girl-DIM-POSS.3SG-GEN hand-INE.3SG basket.NOM,A girl goes in the forest. A basket is in the girl's hand.,Майшев 1940: 26
UT106,"кин, мый","kin
mɨj","kin
mɨj","who
what",,КПЯ 1962: 239
UT107,"каньыс, кöда узьö","kɑɲɨs, kɘdɑ uʑɘ","kɑɲ-ɨs, kɘdɑ uʑ-ɘ",cat-POSS.3SG who sleep-PRS.3SG,the cat who is sleeping,
UT109,сы бокын,sɨ bokɨn,sɨ bok-ɨn,(s)he.GEN side-INE,next to him/her,КПЯ 1962: 238
UT111,киэзын,kiezɨn,ki-ez-ɨn,hand-PL-INE,in the hands,Майшев 1940: 27
UT114,виль – важ / том – пöрись,viʎ – vɑʒ / tom – pɘriɕ,,,new – old / young – old,"КПРС 1985: 73, 53, 476, 366"
UT115,"гожумнас жар, тöвнас кöдзыт / талун пöсь","goʒumnɑs ʒɑr, tɘvnɑs kɘd͡ʑɨt / tɑlun pɘɕ","goʒum-nɑs ʒɑr, tɘv-nɑs kɘd͡ʑɨt / tɑlun pɘɕ","summer-INS.POSS.3SG hot, winter-INS.POSS.3SG cold / today hot","it's hot in summer, it's cold in winter / it's hot today","КПРС 1985: 140, 369"
UT123,"юан vs. ю'ан
'вештыштны vs. веш'тыштны","juɑn
veʃtɨʃtnɨ","ju-ɑn vs. ju-ɑn
veʃt-ɨʃt-nɨ vs. veʃt-ɨʃt-nɨ","drink-PRS.2SG vs. drink-NMLZ
move-DIM-INF vs. move-PRF-INF","you drink vs. a drink
to move a little vs. to move away","КПЯ 1962: 94, 260"
UT124,"топыт vs. то'пытжык
'миян vs. ми'янкöт","topɨt vs. topɨtʒɨk
mijɑn vs. mijɑnkɘt","topɨt vs. topɨt-ʒɨk
mijɑn vs. mijɑn-kɘt","dense vs. dense-CMPR
we.GEN vs. we-COM","dense vs. denser
our vs. with us",КПЯ 1962: 94
UT127,"керкуок
нёльöт","kerkuok
ɲoʎɘt","kerku-ok
ɲoʎ-ɘt","house-DIM
four-ORD","a little house
fourth",КПЯ 1962: 93
UT137,шыр,ʃɨr,,,mouse,
UT138,шöр,ʃɘr,,,centre,
UT141,"друг
трин-трон
квать (<куать)","drug
trin-tron
kvɑc (<kuɑc)",,,"suddenly
whack, whack
six",
UT143,бордтöм,bordtɘm,bord-tɘm,wing-CAR,wingless,КПРС 1985: 37
UT144,бордтöм,bordtɘm,bord-tɘm,wing-CAR,wingless,КПРС 1985: 37
UT148,нять,ɲɑc,,,mud,Майшев 1940: 9
UT149,нянь,ɲɑɲ,,,bread,
UT150,нёль,ɲoʎ,,,four,
UT153,чача,t͡ʃɑt͡ʃɑ,,,toy,
UT154,сыр vs. шыр,sɨr vs. ʃɨr,,,fringe vs. mouse,
UT155,"бус
гожум
дук","bus
goʒum
duk",,,"dust
summer
smell",
